id,Languages_Spoken
227,Lahnda;English;Spanish;Hindi;Amharic
228,English;Chinese;Spanish;Hindi;Scala;Amharic
229,English;Chinese;Spanish;Hindi;German
230,Lahnda;Turkish;Hindi
231,Chawl;Turkish;Spanish;Vietnamese;Amharic
232,Lahnda;Swahili;Thart;English;Spanish
233,Somali;Hindi
234,Lahnda;Japanese;Hindi
235,English;Chinese;Hindi;Amharic
236,English;Spanish
237,Somali;Spanish;Logu
238,English;Spanish;Japanese;Marathi;Hindi
239,Swahili;English;Spanish;German
240,Lahnda;English;Chinese;Spanish;Hindi;Amharic
241,Lahnda;Swahili;English;Spanish;Amharic
242,English;Chinese;Spanish;Amharic;German
243,Japanese;Somali;Swahili;English;Chinese;Spanish;Japanese;Marathi;Hindi;And
244,Urdu;Lahnda;Japanese;Hindi;Arabic
245,Swahili;Spanish;German
246,Swahili;English;Spanish;Amharic;German
247,Somali;Swahili
248,English;Chinese;Spanish;Hindi;Amharic
249,Lahnda;Swahili;English;Chinese;Hindi;Amharic
250,Hindi;French
251,Urdu;Japanese;Somali;Swahili;English;Spanish;Hindi;Arabic
252,English;Spanish;Logu;And;French
253,Lahnda;English;Spanish;Marathi;Vietnamese;Amharic
254,Swahili;Hindi;Amharic;German
255,Lahnda;Japanese;English;Chinese;Spanish;Hindi;German;French
256,Japanese;Somali;Chinese
257,Lahnda;French
258,Japanese;English;Chinese;Spanish;Marathi;Hindi
259,Swahili;English;Chinese;Spanish;Hindi;Amharic;German
260,Lahnda;English;Chinese;Spanish;Marathi;Amharic
261,English;Spanish
262,Somali;Swahili;English;Chinese;Spanish;Marathi;Hindi;Amharic;German
263,English;Spanish;Kotlin;Hindi
264,English;Chinese;Spanish;Hindi;Amharic;French
265,English;Spanish
266,English;Spanish;German;French
267,English;Spanish;Hindi;Vietnamese
268,Japanese;Chinese;Marathi;Vietnamese
269,Swahili;English;Chinese;Spanish;Amharic;And
270,Somali;English;Spanish
271,Swahili;Spanish;Amharic
272,English;Spanish;Marathi
273,Lahnda;Somali;Clojure;Erlang;English;Chinese;Spanish;Vietnamese;Scala
274,Chinese;Spanish
275,Swahili;English;Chinese;Spanish;Japanese;Hindi;Vietnamese;Logu;Amharic;German
276,English;Chinese;Spanish;Scala;Amharic
277,Lahnda;Japanese;Somali;Hindi
278,Lahnda;Swahili;English;Spanish;Marathi;Hindi;Amharic
279,English;Chinese;Spanish;Marathi;Hindi;Amharic
280,Swahili;English;Spanish;Amharic;German
281,Swahili;English;Chinese;Spanish;German
282,Hindi;Amharic;And
283,English;Spanish;German
284,Urdu;Lahnda;Japanese;Somali;Swahili;Chinese
285,Swahili;English;Spanish;Marathi;Amharic
286,Thart;English;Spanish;Hindi;German;French
287,Chinese;Kotlin
288,English;Spanish;Marathi;Amharic
289,Somali;Swahili;Marathi;Logu;German
290,English;Marathi;Hindi
291,Turkish;English;Hindi;Amharic;German
292,Lahnda;Swahili;English;Spanish;Amharic;German
293,English;Chinese;Spanish;Amharic
295,Japanese;Somali;Swahili;English;Chinese;Spanish;Kotlin;Marathi;Hindi;Vietnamese;Amharic;German;Korean
296,English;Chinese;Spanish;Amharic
297,English;Chinese;Spanish;Amharic;German
298,English;Spanish;Marathi;Amharic;French
299,Urdu;Japanese;Somali;Chinese;Hindi;Amharic
300,English;Chinese;Spanish;Amharic
301,Somali;Swahili;Clojure;Spanish;Marathi;Hindi;Amharic;Arabic
302,Lahnda;Swahili;Hindi;French
303,Spanish
304,Lahnda;Turkish;English;Spanish;Hindi;Logu;Amharic
305,Swahili;English;Spanish;Amharic
306,Japanese;English;Spanish;Hindi;Amharic;German
307,Urdu;Lahnda;Japanese;English;Chinese;Marathi;Hindi;Russian;Amharic
308,English;Spanish;Vietnamese
309,Chinese
310,Swahili;English;Spanish;Amharic;And
311,Urdu;Japanese;Somali;Swahili;English;Chinese;Hindi;Scala;Amharic
312,Lahnda;Hindi;Vietnamese;Amharic
313,Japanese;Swahili;English;Marathi;Hindi
314,Japanese;Hindi
315,Somali;English;Chinese;Spanish;Hindi;Amharic;French
316,Lahnda;Somali;English;Chinese;Spanish;Hindi
317,Chinese;Amharic
318,Lahnda;Chinese
319,Lahnda;English;Spanish;Marathi;German
320,Swahili;English;Spanish;Amharic;German
321,English;Chinese;Spanish;Vietnamese;Amharic;German
322,Swahili;English;Chinese;Hindi
323,Lahnda;Swahili;English;Spanish;Amharic
324,Swahili;English;Spanish;Amharic;German
325,Urdu;Lahnda;Japanese;Somali;Swahili;English;Chinese;Spanish;Marathi;Hindi
326,Lahnda;English;Chinese;Spanish;Marathi;Hindi;Amharic;German
327,English;Chinese;Spanish;Marathi;Hindi;Amharic
328,English;Chinese;Spanish;German
329,Japanese;Somali;Swahili;Telugu;English;Spanish;Logu;Amharic;German;French
330,Chinese;Kotlin
331,Lahnda;Somali;Swahili;Hindi
332,Lahnda;English;Spanish;Japanese;Hindi;Amharic;And;German
333,Hindi;Logu;Scala
334,Lahnda;Japanese;Somali;Hindi
335,Swahili;English;Chinese;Spanish;Hindi;Amharic;And
336,Lahnda;Spanish;Hindi;Logu;Amharic;German
337,Hindi;Bow
338,Lahnda;English;Chinese;Hindi;Amharic
339,Lahnda;Thart;Turkish;English;Chinese;Spanish;Hindi;Logu;Amharic;And
340,Swahili;English;Amharic
341,Somali;Swahili;Amharic
342,English;Chinese;Spanish;Hindi;Amharic;German
343,Somali
344,Urdu;Swahili;English;Spanish;Amharic
345,Chinese;Spanish
346,Chinese
347,Chinese
348,English;Marathi
349,Japanese;Somali;English;Hindi
350,Japanese;Somali;Chawl;English;Chinese;Kotlin;Marathi;Vietnamese;Amharic;French
351,Urdu;Japanese;Somali;Chinese;Spanish;Hindi;Amharic
352,English;Spanish;Vietnamese;German
353,English;Spanish;German
354,English;Chinese;Spanish;Kotlin;German
355,Lahnda;Turkish;English;Chinese;Spanish;Kotlin;German
356,English;Spanish;Marathi;Hindi;Amharic
357,English;German
358,Japanese;Somali;Swahili;English;Spanish;Marathi;Amharic;German
359,Chinese;Spanish;Hindi
360,Lahnda;English;Spanish;Hindi;German
361,Chawl;Erlang;Telugu;Turkish;English;Spanish;Marathi;Amharic
362,English;Chinese;Spanish;Amharic
363,Lahnda;English;Chinese;Spanish;Japanese;Hindi;Amharic;German
364,Lahnda;English;Spanish;Marathi;Hindi;Amharic;German
365,Chinese;Amharic
366,English;Marathi;Amharic
367,English;Spanish
368,Turkish;English;Spanish;Marathi;Hindi;Amharic;German
369,Hindi
370,Russian;Amharic
371,Lahnda;Amharic
372,Lahnda;Swahili;English;Chinese;Hindi;Amharic
373,Swahili;English;Chinese;Spanish;Hindi
374,English;Hindi;Amharic;German
375,Lahnda;English;Chinese;Spanish;Hindi;Amharic
376,Somali;Hindi
377,English;Spanish;Marathi;Amharic
378,Swahili;English;Spanish;Amharic;German
379,Lahnda;Japanese;Swahili;Chinese;Hindi
380,Lahnda;Spanish;Hindi
381,Swahili;Turkish;English;Chinese;Spanish;Hindi;Russian;Amharic
382,Swahili;English;Chinese;Spanish;Marathi;Hindi;Amharic
383,Lahnda
384,Lahnda;Turkish;Amharic;German
385,English;Chinese;Spanish;Hindi;Russian;Amharic;Arabic
386,English;Spanish;Marathi
387,Chinese;Hindi
388,Japanese;English;Chinese;Spanish;Marathi;Amharic;German
389,Lahnda;Spanish;Japanese;Vietnamese;And
390,Lahnda;English;Chinese;Kotlin;Hindi;Scala
391,Lahnda;English;Spanish;Marathi;Hindi;Amharic
392,Lahnda;Swahili;English;Spanish;Hindi;Amharic;German;Arabic
393,Chinese;Kotlin;Marathi;Amharic
394,Swahili;English;German;French
395,English;Chinese;Spanish;Amharic
396,English;Spanish
397,English;Spanish;Marathi;Vietnamese;Logu;Amharic
398,Lahnda;Japanese;Somali;English;Chinese;Spanish;Hindi;Amharic;Arabic
399,Somali
400,Lahnda;Somali;Chinese;Kotlin;Marathi
401,Spanish;Hindi;Vietnamese;Amharic;German
402,Swahili
403,Lahnda;Japanese;Swahili;Telugu;English;Spanish;Marathi;Hindi;Amharic
404,Swahili;Amharic;German
405,Chinese;Spanish;German
406,English;Chinese;Spanish;Marathi;Amharic;German
407,Japanese;Somali;English;Chinese;Spanish;Hindi;Amharic
408,Urdu;Lahnda;Japanese;Somali;Turkish;English;Chinese;Spanish;Hindi;Russian;Logu;Amharic;German;Korean
409,Lahnda;Swahili;Turkish;English;Spanish;Marathi
410,Lahnda;Swahili;English;Spanish;Amharic
411,Japanese;Somali;Spanish;Hindi;Russian;Amharic
412,English;Spanish;Marathi;Hindi;Amharic
413,Lahnda;English;Spanish;Marathi;Amharic;German
414,Lahnda;Spanish;Hindi;Amharic
415,English;Spanish;Vietnamese
416,Japanese;Somali;Swahili;English;Spanish;Amharic;German
417,English;Spanish
418,English;Spanish;Amharic;Arabic
419,Japanese;Somali;Swahili;English;Chinese;Spanish;Marathi;Hindi;Russian;Amharic
420,English;Spanish;Hindi
421,Lahnda;English;Spanish;German
422,Lahnda;Japanese;Swahili;English;Spanish;Hindi;French
423,Somali;Swahili
424,Japanese;Somali
425,Lahnda;Japanese;English;Spanish;Marathi;Amharic;Arabic
426,Chinese
427,Swahili;English;Spanish;Amharic;German
428,Lahnda;Chinese;Hindi
429,Swahili
430,Urdu;Somali;Swahili;English;Chinese;Spanish;Japanese;Marathi;Amharic;French
431,Arabic;French
432,English;Chinese;Spanish;Amharic;German;Arabic;French
433,Lahnda;Japanese;Somali;English;Chinese;Spanish;Hindi
434,Lahnda;Swahili;English;Spanish;Amharic
435,Lahnda;Swahili;English;Spanish;Hindi;Amharic;And
436,Lahnda;English;Chinese;Spanish;Marathi;Hindi;Amharic
438,Lahnda;Japanese;Somali;Turkish;English;Spanish;Russian;Amharic
439,Lahnda;Swahili;English;Chinese;Spanish;Marathi;Hindi;Amharic;German
440,Lahnda;Somali;English;Chinese;Marathi;Amharic
441,Swahili;English;Chinese;Spanish;Marathi
442,English;Spanish
443,English;Spanish;German
444,Lahnda;Japanese;Somali;English;Hindi
445,Swahili;Amharic
446,Lahnda;English;Chinese;Spanish;Hindi
447,Lahnda;Chinese;Hindi
448,Lahnda;Chinese;Amharic;French
449,Lahnda;Swahili;English;Chinese;Spanish;German;French
450,Swahili;English;Spanish;German
451,Lahnda;Japanese;Somali;Swahili;Chinese;Hindi;Logu
452,Amharic;Arabic
453,Somali;Swahili;Amharic
454,Lahnda;Chawl;English;Spanish;Vietnamese;Amharic;French
455,Somali;Hindi;Vietnamese
456,Lahnda;Spanish;Hindi;Amharic
457,English;Spanish
458,Urdu;Japanese;Hindi;Logu
459,Swahili;Amharic
460,Lahnda;Swahili;English;Spanish;Marathi;Hindi
461,English;Spanish;Marathi;Amharic
462,Lahnda;Swahili;English;Spanish;Hindi;Amharic
463,English;Chinese;Spanish;Marathi;Amharic;French
464,Japanese;Hindi
465,Lahnda;Swahili;English;Spanish;Amharic;German
466,English;Spanish;German
467,Chinese;Kotlin;Hindi;Amharic
468,Lahnda;Swahili;English;Chinese;Spanish;Kotlin;Amharic;French
469,Lahnda;Spanish;Marathi;Amharic
470,English;Chinese;Spanish;Marathi;Amharic;German;French
471,Chinese;Spanish
472,English;Spanish;Marathi;Hindi;Amharic
473,Swahili;Spanish
474,Chinese;Spanish;French
475,Swahili;English;Spanish;Marathi;German
476,English;Spanish;Marathi;Scala
477,Lahnda;English;Spanish;Marathi;Amharic;German
478,Somali;English;Spanish;Marathi;Hindi;Vietnamese;Amharic
479,Swahili;English;Spanish;Amharic;French
480,Japanese;Somali;Thart;Chinese;Hindi
481,Lahnda;Kotlin
482,Lahnda;English;Marathi
483,Lahnda;Swahili;English;Chinese;Spanish;Marathi;Hindi;Amharic
484,English;Chinese;Marathi;Hindi;Amharic
485,Chinese;Spanish;Scala
486,Lahnda;English;Spanish;German
487,Lahnda;Somali;Swahili;English;Spanish;Marathi;Amharic;German
488,Japanese;Somali;Swahili;Chinese
489,Somali;Hindi
490,English;Spanish;Vietnamese
491,Chinese;Chew
492,Lahnda;Turkish;English;Spanish
493,Swahili;Chinese;Amharic;French
494,Urdu;Japanese;Erlang;English;Chinese;Spanish;Hindi;Amharic
495,Bow
496,Lahnda;Hindi;Amharic
497,Thart;Spanish;Kotlin;Marathi;Amharic;And;German
498,Somali;English;Spanish;Hindi
499,Lahnda;English;Chinese;Spanish;Marathi;Vietnamese;Amharic;Arabic
500,Somali;Swahili
501,English
502,Somali;Swahili
503,Lahnda;English;Spanish;Marathi;Amharic;German
504,Lahnda;Hindi;Amharic
505,Japanese;Somali;English;Chinese;Amharic
506,Chinese
507,Turkish;English;Chinese;Spanish;Marathi;Hindi;Amharic;German
508,Japanese;Somali;English;Spanish
509,Lahnda;English;Spanish;Marathi;Hindi;Amharic
510,Hindi
511,English;Spanish;Vietnamese;Amharic;German
512,Lahnda;Hindi;French
513,Somali;Logu
514,English;Spanish;Hindi;Vietnamese;German
515,Somali;English;Chinese;Spanish;Marathi;Hindi;Amharic
516,Lahnda;Somali;Hindi
517,Urdu;Somali;Telugu;English;Marathi;Hindi;Russian;Logu;German;French
518,Japanese;English;Chinese;Spanish;Amharic
519,English;Marathi
520,English;Chinese;Spanish;Hindi;Amharic;German
521,English;Spanish
522,English;Hindi
523,Lahnda;English;Spanish;Hindi;Bow
524,Hindi;French
525,Swahili;Amharic;Arabic
526,Lahnda;Swahili;English;Spanish;Amharic
527,English;Spanish;Japanese;And
528,Lahnda;Chinese;Spanish;Hindi;Amharic
529,Lahnda;English;Chinese;Spanish;Marathi;Hindi;Amharic;German
530,Japanese;Somali;Swahili
531,Swahili
532,Lahnda;Japanese;Somali;Chinese;Hindi
533,Swahili;Chinese;Spanish;Amharic
535,Chawl;Arabic
536,Swahili;English;Chinese;Spanish;Marathi;Hindi;Amharic
537,Swahili;English;Spanish;Amharic;German;French
538,English;Chinese;Spanish;Marathi;Russian;Amharic;German
539,Lahnda;Spanish;Hindi;Amharic
540,Spanish;Hindi
541,Lahnda;Swahili;English;Spanish;Hindi;Amharic;German;French
542,Lahnda;Swahili;English;Chinese;Spanish;Hindi;Russian;Amharic
543,Japanese;Swahili;English;Chinese;Spanish;Kotlin;Marathi;German
544,Urdu;Lahnda;Japanese;Somali;Turkish;English;Spanish;Japanese;Marathi;Hindi;Amharic
545,Lahnda;Somali;Swahili;Turkish;English;Spanish;Marathi;Hindi;Amharic;German;French
546,Japanese;Chinese;Amharic
547,Swahili;English;Spanish;Amharic
548,Hindi;Amharic;Arabic
550,Swahili;English;Spanish;Amharic
551,Urdu;Lahnda;Japanese;Somali;English;Chinese;Spanish;Hindi;Russian;Scala;Amharic
552,English;Chinese;Spanish;Marathi
553,Swahili;English;Spanish;Hindi;Amharic;German
554,Turkish;Spanish;Marathi;Vietnamese;Amharic;German
555,Swahili;English;Spanish;Amharic
556,Lahnda;English;Chinese;Spanish;Hindi;Amharic
557,Japanese;Somali;Marathi;Hindi;Amharic;Arabic
558,Lahnda;Japanese;English;Chinese;Spanish;Kotlin;Marathi;Amharic;German
559,Lahnda;Japanese;Somali;Swahili;English;Chinese;Marathi;Hindi;Amharic;Arabic
560,Lahnda;Swahili;English;Spanish;Marathi;Amharic
561,English;Chinese;Spanish;Hindi;Vietnamese;Amharic
562,Swahili;Spanish;Amharic
563,Urdu;Lahnda;Japanese;Somali;Hindi;Amharic
564,Japanese;Somali;Hindi;Russian;Amharic;French
565,Lahnda;English;Spanish;Marathi;Amharic
566,Lahnda;Swahili;English;Spanish
567,Lahnda;Japanese;Chinese;Spanish;Japanese;Logu;And;French
568,Somali;Swahili;Clojure;English;Spanish;Hindi;Amharic
569,Lahnda;English;Spanish;Hindi
571,Urdu;Lahnda;Japanese;Somali;Erlang;Russian;Logu;Scala
572,Urdu;Japanese;Somali;Chinese;Spanish;Kotlin;Marathi;Hindi;Logu;Amharic;German
573,Urdu;Lahnda;Japanese;English;Marathi;Hindi;Amharic
574,Lahnda;English;Spanish;Marathi;Hindi;Vietnamese
575,Lahnda;Turkish;Hindi;Amharic
576,Swahili;English;Spanish;Vietnamese;Amharic;German
577,Lahnda;Hindi;French
578,Lahnda;English;Chinese;Spanish;Amharic;And
579,Lahnda;Somali;Swahili;English;Chinese;Spanish;Hindi
580,Lahnda;English;Chinese;Spanish;Hindi;Scala;Amharic
581,Lahnda;English;Spanish;Marathi;German
582,Japanese;Somali;Swahili;English;Chinese;Spanish;Marathi;Hindi;Amharic
583,Chinese;Vietnamese;Scala;Amharic;French
584,Chinese;Hindi
585,Swahili;Chinese;Hindi;Russian;Arabic
586,Chinese;Hindi;Vietnamese
587,Lahnda;Swahili;Chinese;French
588,Swahili
589,Swahili;English;Spanish;Amharic;Arabic
590,Swahili;Amharic
591,Swahili;Spanish
592,Japanese;Somali;English;Marathi;Hindi;Amharic
